RSSI,Noise,PRR
-98,-105,90
-111,-108,30
-112,-99,1
-109,-110,45
-111,-106,40
-112,-103,20
-106,-101,34
-91,-99,90
-109,-99,10
-110,-106,29
-105,-108,77
-109,-107,43
-110,-108,43
-110,-109,50
-107,-105,57
-94,-102,92
-111,-104,27
-111,-103,24
-111,-105,22
-112,-102,5
-91,-100,88
-110,-104,28
-108,-106,43
-94,-103,83
-92,-100,87
-108,-103,33
-106,-103,41
-109,-108,58
-111,-102,17
-110,-103,26
-99,-106,88
-93,-101,82
-106,-109,74
-111,-99,1
-107,-106,53
-108,-107,44
-106,-106,53
-109,-100,12
-109,-104,43
-103,-105,63
-110,-107,44
-109,-105,30
-111,-101,5
-108,-105,40
-103,-107,73
-99,-105,85
-108,-109,56
-106,-107,59
-107,-107,60
-110,-101,19
-110,-97,0
-110,-102,17
-95,-103,81
-99,-104,79
-111,-100,1
-102,-108,85
-108,-108,63
-109,-103,28
-96,-103,84
-95,-102,88
-105,-107,70
-96,-104,80
-109,-102,28
-108,-104,41
-107,-108,57
-107,-104,51
-104,-108,80
-110,-99,0
-109,-101,14
-106,-108,65
-108,-101,33
-108,-106,43
-101,-107,78
-104,-107,66
-97,-104,85
-109,-106,37
-101,-105,65
-111,-97,1
-108,-103,39
-109,-99,3
-108,-105,50
-108,-102,29
-111,-98,0
-109,-97,2
-109,-100,14
-110,-100,9
-107,-106,53
-103,-108,73
-109,-104,38
-110,-103,25
-109,-98,1
-108,-104,38
-101,-106,79
-107,-105,48
-110,-105,37
-104,-103,56
-109,-102,34
-109,-101,22
-106,-105,56
-110,-98,1
-107,-107,55
-107,-103,44
-88,-97,84
-98,-103,73
-109,-103,34
-105,-106,57
-90,-99,86
-104,-105,71
-111,-96,0
-110,-101,8
-111,-93,0
-102,-106,76
-110,-96,0
-108,-107,47
-92,-101,86
-110,-99,1
-106,-107,56
-102,-107,75
-110,-97,0
-110,-104,29
-106,-106,57
-109,-105,38
-111,-94,0
-86,-94,79
-111,-99,0
-109,-107,39
-108,-106,44
-111,-102,3
-110,-102,11
-109,-100,11
-105,-109,74
-105,-105,58
-104,-106,64
-109,-99,11
-110,-100,5
-111,-100,0
-111,-101,0
-107,-109,59
-94,-102,85
-108,-105,42
-103,-103,54
-109,-96,0
-103,-106,72
-92,-100,80
-93,-101,80
-100,-105,86
-108,-110,60
-109,-102,33
-111,-95,0
-106,-104,49
-109,-104,33
-106,-110,56
-101,-104,74
-109,-103,31
-109,-101,27
-108,-100,14
-108,-103,39
-107,-106,60
-107,-102,31
-110,-101,10
-111,-103,7
-107,-104,57
-110,-103,22
-112,-101,0
-109,-106,40
-98,-105,83
-97,-105,86
-111,-104,16
-106,-108,67
-112,-100,0
-100,-104,66
-109,-109,52
-98,-104,85
-105,-107,69
-107,-105,59
-91,-98,73
-91,-99,85
-109,-111,47
-107,-108,58
-108,-108,55
-107,-107,70
-111,-102,13
-110,-106,29
-95,-103,89
-110,-104,37
-105,-108,64
-113,-102,0
-112,-98,0
-111,-103,19
-112,-104,22
-100,-106,80
-111,-107,32
-111,-101,7
-102,-109,80
-112,-103,8
-109,-107,47
-113,-101,0
-112,-105,21
-112,-108,16
-112,-106,23
-109,-108,45
-87,-95,81
-103,-109,75
-112,-102,7
-111,-105,18
-112,-107,19
-108,-109,59
-102,-105,69
-111,-106,30
-110,-110,36
-112,-101,4
-110,-102,23
-108,-107,59
-108,-99,10
-112,-97,0
-113,-99,0
-111,-111,26
-106,-109,72
-110,-108,38
-100,-107,78
-94,-101,91
-107,-110,68
-112,-104,19
-99,-106,83
-96,-104,79
-112,-103,11
-110,-107,37
-113,-100,0
-108,-106,54
-98,-106,78
-111,-108,47
-112,-100,0
-112,-99,0
-109,-105,44
-111,-109,34
-112,-102,4
-112,-105,23
-112,-106,34
-111,-110,33
-113,-97,0
-108,-104,38
-107,-109,65
-111,-104,31
-113,-103,2
-110,-109,38
-112,-96,0
-89,-98,88
-90,-98,87
-91,-100,90
-111,-107,42
-111,-100,0
-110,-105,32
-109,-110,46
-111,-98,0
-112,-101,5
-113,-95,0
-106,-107,74
-94,-102,78
-112,-95,0
-111,-105,39
-89,-96,75
-92,-99,84
-93,-100,79
-113,-98,0
-109,-106,42
-108,-108,69
-111,-99,0
-111,-97,0
-111,-102,11
-111,-103,21
-110,-99,4
-110,-106,34
-108,-105,42
-107,-108,66
-109,-109,68
-105,-106,60
-110,-103,25
-109,-104,39
-101,-107,79
-111,-101,4
-108,-107,66
-112,-98,0
-109,-107,46
-103,-107,76
-105,-109,73
-111,-96,0
-106,-108,65
-109,-108,52
-112,-104,17
-111,-106,45
-108,-109,57
-111,-104,30
-107,-107,56
-112,-103,13
-104,-108,73
-104,-107,72
-104,-109,78
-112,-100,0
-112,-99,0
-103,-108,80
-89,-97,82
-110,-108,46
-95,-103,86
-97,-105,80
-108,-110,60
-110,-104,27
-113,-104,5
-112,-102,6
-92,-100,82
-112,-107,21
-102,-108,86
-97,-104,74
-93,-101,85
-96,-103,88
-113,-106,8
-112,-101,4
-112,-109,22
-107,-106,51
-112,-105,21
-113,-102,2
-96,-104,79
-112,-110,18
-87,-96,81
-90,-99,82
-93,-102,80
-112,-104,13
-112,-103,12
-101,-106,80
-110,-107,41
-105,-108,74
-110,-105,38
-111,-105,29
-112,-102,1
-107,-109,62
-111,-100,2
-112,-106,33
-105,-110,74
-102,-107,80
-110,-101,19
-110,-100,13
-111,-98,0
-111,-101,5
-109,-106,55
-111,-103,15
-112,-97,0
-99,-105,75
-108,-106,52
-111,-102,12
-110,-102,28
-106,-109,76
-106,-106,65
-108,-108,60
-109,-105,42
-105,-107,63
-109,-108,56
-111,-108,31
-111,-104,29
-109,-107,51
-111,-99,0
-108,-107,66
-95,-104,79
-98,-105,86
-92,-101,90
-112,-101,4
-111,-107,33
-111,-106,34
-110,-106,39
-112,-100,1
-112,-94,0
-95,-102,77
-91,-99,81
-88,-96,82
-111,-102,19
-108,-102,24
-99,-107,69
-107,-108,68
-89,-98,78
-111,-97,0
-111,-103,27
-111,-101,10
-112,-103,14
-96,-105,82
-92,-100,92
-94,-102,83
-106,-110,74
-111,-100,2
-109,-103,30
-110,-104,32
-93,-99,87
-109,-102,21
-110,-103,31
-99,-106,83
-110,-98,0
-106,-107,67
-93,-101,85
-110,-105,33
-113,-96,0
-111,-105,20
-111,-99,1
-111,-98,0
-109,-104,33
-112,-99,1
-109,-90,0
-107,-101,24
-108,-94,0
-106,-105,58
-109,-98,3
-108,-98,3
-108,-105,42
-109,-95,0
-107,-107,55
-108,-104,38
-109,-105,38
-109,-93,0
-113,-105,6
-107,-110,67
-112,-108,28
-110,-107,48
-112,-98,0
-109,-106,41
-109,-109,56
-108,-109,68
-112,-104,18
-108,-111,63
-113,-101,0
-112,-102,3
-110,-108,42
-91,-100,88
-106,-108,67
-110,-110,52
-113,-103,2
-112,-105,27
-108,-108,64
-110,-109,52
-113,-100,0
-109,-107,43
-108,-106,51
-104,-106,65
-110,-111,47
-111,-109,38
-97,-105,82
-111,-104,24
-101,-108,80
-113,-99,0
-108,-110,69
-112,-107,28
