RSSI,Noise,PRR
-110,-105,34
-110,-106,29
-103,-105,61
-102,-106,78
-111,-103,17
-106,-105,57
-106,-106,64
-111,-98,0
-91,-99,81
-110,-104,18
-106,-104,54
-109,-101,17
-111,-101,3
-92,-100,88
-104,-106,68
-91,-100,87
-106,-107,69
-110,-101,11
-108,-99,6
-108,-104,35
-101,-104,80
-108,-103,31
-108,-102,19
-109,-98,2
-100,-105,75
-108,-106,34
-96,-102,82
-102,-104,62
-108,-97,1
-106,-102,37
-107,-97,7
-108,-94,0
-106,-103,38
-108,-96,1
-109,-96,0
-109,-107,39
-104,-103,59
-98,-103,74
-107,-101,31
-107,-103,34
-93,-101,78
-93,-102,80
-109,-97,1
-108,-101,29
-108,-98,6
-107,-105,53
-108,-100,21
-104,-104,57
-108,-99,11
-108,-97,2
-108,-95,0
-90,-98,90
-109,-99,2
-109,-104,20
-109,-95,0
-109,-100,4
-108,-102,24
-109,-94,0
-107,-104,40
-98,-104,78
-106,-105,52
-105,-102,51
-95,-103,81
-94,-102,83
-97,-104,90
-104,-105,62
-108,-101,36
-96,-103,91
-108,-98,7
-107,-102,36
-107,-107,68
-108,-96,2
-105,-106,51
-106,-108,69
-101,-105,72
-103,-107,79
-92,-99,83
-108,-103,28
-107,-106,52
-108,-97,2
-108,-104,29
-107,-100,21
-108,-100,24
-108,-99,15
-106,-104,55
-108,-105,35
-108,-93,0
-106,-106,55
-99,-103,74
-105,-105,65
-109,-105,29
-107,-103,47
-109,-97,0
-106,-101,37
-110,-97,0
-92,-100,85
-111,-100,1
-105,-103,53
-90,-97,84
-95,-102,76
-108,-102,27
-91,-99,83
-101,-107,88
-109,-98,0
-107,-105,43
-105,-104,45
-108,-101,31
-105,-107,62
-107,-96,2
-106,-103,42
-103,-108,76
-108,-94,0
-108,-98,7
-108,-95,0
-108,-92,0
-107,-104,52
-107,-101,36
-109,-102,19
-104,-106,59
-108,-100,18
-108,-99,15
-108,-96,0
-109,-96,1
-110,-100,8
-99,-104,79
-103,-106,70
-108,-97,2
-96,-104,75
-94,-101,82
-108,-98,4
-107,-99,18
-109,-99,1
-109,-92,0
-108,-99,14
-103,-104,63
-107,-102,42
-106,-107,61
-106,-105,62
-108,-98,4
-110,-99,1
-108,-97,1
-108,-100,30
-93,-100,80
-89,-98,86
-88,-97,86
-103,-103,59
-108,-101,30
-88,-96,79
-93,-101,91
-109,-101,9
-108,-103,25
-100,-107,77
-108,-108,49
-108,-109,63
-104,-107,83
-111,-105,35
-107,-103,48
-92,-101,89
-109,-103,20
-90,-99,91
-107,-106,62
-103,-105,58
-107,-104,40
-89,-97,82
-101,-106,80
-111,-99,0
-110,-102,10
-108,-107,46
-112,-101,2
-110,-108,39
-108,-106,28
-107,-105,56
-111,-102,7
-110,-103,25
-109,-109,50
-99,-106,84
-107,-108,53
-106,-106,65
-108,-104,32
-106,-109,72
-112,-104,14
-102,-105,74
-111,-106,31
-105,-106,77
-112,-102,6
-112,-103,9
-107,-107,59
-112,-106,32
-87,-96,83
-94,-102,87
-112,-100,4
-109,-108,59
-111,-107,47
-105,-109,77
-92,-100,87
-103,-109,75
-98,-105,76
-102,-107,78
-111,-109,37
-113,-102,1
-105,-108,69
-109,-106,37
-113,-104,2
-95,-103,86
-97,-105,88
-113,-103,1
-107,-109,66
-106,-104,47
-109,-100,5
-112,-98,0
-112,-108,31
-108,-110,66
-112,-105,22
-111,-104,19
-96,-103,86
-111,-103,14
-110,-107,44
-109,-107,41
-108,-105,30
-104,-108,75
-111,-101,2
-112,-104,17
-108,-102,20
-111,-105,35
-106,-108,59
-110,-105,25
-112,-103,13
-108,-108,66
-105,-105,61
-108,-109,67
-112,-101,1
-97,-104,84
-111,-102,11
-107,-110,77
-108,-107,54
-110,-104,27
-109,-105,34
-104,-105,65
-110,-110,46
-111,-100,3
-111,-96,0
-90,-98,86
-96,-104,81
-110,-106,37
-109,-104,36
-107,-108,59
-86,-94,83
-99,-105,83
-106,-107,68
-110,-98,2
-110,-94,0
-109,-102,26
-110,-101,11
-108,-106,59
-94,-103,78
-93,-101,83
-102,-106,73
-110,-103,26
-107,-106,55
-105,-107,69
-107,-107,56
-109,-98,1
-109,-103,30
-110,-102,20
-109,-93,0
-112,-102,5
-100,-106,83
-110,-100,5
-100,-105,76
-98,-106,83
-108,-111,58
-110,-108,44
-111,-97,0
-113,-101,2
-91,-99,78
-112,-107,30
-112,-106,24
-112,-99,0
-111,-106,29
-111,-103,16
-111,-104,24
-91,-100,81
-94,-102,87
-109,-106,44
-109,-101,16
-109,-108,48
-111,-108,44
-108,-105,50
-110,-109,56
-108,-108,67
-113,-105,7
-111,-101,7
-111,-102,15
-111,-105,37
-109,-109,58
-108,-107,62
-95,-103,84
-109,-107,47
-104,-106,67
-95,-102,89
-112,-104,16
-110,-105,33
-112,-105,28
-110,-99,6
-107,-105,44
-86,-95,84
-113,-99,0
-111,-99,2
-105,-110,67
-111,-107,43
-102,-108,79
-111,-100,0
-103,-107,64
-109,-97,1
-111,-98,0
-109,-105,37
-106,-108,63
-105,-108,76
-110,-107,43
-112,-103,9
-106,-106,64
-110,-104,37
-109,-95,0
-96,-104,82
-109,-111,44
-106,-105,53
-110,-103,20
-107,-109,75
-104,-107,73
-106,-109,70
-109,-104,37
-108,-104,34
-108,-106,52
-107,-107,59
-109,-102,22
-93,-101,84
-107,-108,63
-110,-102,19
-109,-99,7
-92,-100,79
-101,-107,86
-111,-95,0
-90,-99,81
-110,-101,19
-103,-106,69
-107,-106,61
-108,-103,35
-106,-107,70
-89,-98,87
-111,-103,10
-109,-103,36
-111,-101,3
-88,-97,76
-110,-100,8
-111,-93,0
-108,-96,0
-97,-105,77
-98,-104,76
-87,-95,83
-105,-106,64
-108,-100,24
-105,-104,49
-109,-100,9
-108,-102,37
-108,-105,51
-109,-96,0
-110,-97,0
-108,-101,22
-109,-101,18
-108,-107,57
-107,-104,36
-103,-108,77
-108,-109,59
-108,-98,2
-109,-106,37
-99,-106,81
-89,-96,83
-94,-101,79
-101,-105,83
-105,-107,57
-101,-106,76
-111,-102,10
-108,-99,12
-109,-94,0
-109,-98,2
-110,-96,0
-110,-106,34
-109,-99,8
-110,-98,1
-109,-102,21
-97,-103,84
-98,-105,88
-107,-105,56
-95,-101,78
-110,-99,2
-106,-103,37
-109,-104,31
-96,-103,87
-108,-104,40
-97,-104,82
-94,-102,80
-108,-106,45
-109,-100,15
-109,-105,32
-91,-98,82
-107,-107,57
-111,-104,18
-91,-99,87
-109,-91,0
-108,-91,0
-93,-101,86
-108,-97,4
-109,-97,2
-106,-102,41
-92,-101,90
-107,-100,18
-111,-99,1
-108,-95,0
-92,-100,79
-90,-98,81
-104,-104,56
-107,-103,43
-108,-103,32
-106,-106,55
-108,-100,23
-95,-103,77
-102,-107,73
-102,-103,61
-105,-105,62
-107,-101,27
-93,-100,83
-107,-106,58
-106,-105,58
-89,-97,80
-104,-106,70
-109,-99,2
-108,-101,23
-107,-98,7
-106,-104,63
-109,-101,17
-100,-104,76
-88,-96,84
-92,-99,78
-108,-102,30
-104,-105,61
-107,-102,32
-102,-104,60
-108,-105,36
-108,-99,10
-107,-104,37
-108,-98,4
-108,-94,1
-107,-105,46
-95,-102,81
-108,-96,0
-104,-103,51
-109,-95,0
-108,-93,0
-108,-97,2
-103,-105,68
-109,-98,5
-101,-103,65
-108,-104,27
-108,-100,12
-102,-106,76
-106,-107,71
-105,-106,59
-97,-102,85
-100,-103,81
-108,-101,19
-108,-99,7
-107,-95,0
-99,-105,80
-104,-102,56
-109,-103,14
-109,-96,0
-111,-94,0
-108,-102,28
-109,-100,10
-111,-100,2
-110,-101,7
-109,-102,20
-108,-103,25
-108,-108,49
-110,-102,19
-94,-102,83
-111,-96,0
-106,-108,58
-110,-100,5
-109,-101,23
-112,-101,2
-111,-97,0
-107,-106,49
-109,-107,27
-106,-105,58
-109,-99,1
-110,-103,24
-105,-103,53
-107,-105,53
-100,-106,85
-104,-107,67
-107,-107,59
-109,-97,1
-108,-106,41
-108,-98,2
-103,-104,64
-107,-108,54
-112,-100,2
-109,-104,24
-103,-106,73
-91,-99,90
-108,-105,29
-93,-101,85
-91,-100,82
-104,-109,78
-105,-104,52
-96,-104,89
-106,-106,62
-111,-98,0
-109,-108,54
-97,-104,79
-104,-108,77
-110,-105,21
-108,-107,38
-108,-104,40
-112,-102,3
-96,-103,83
-105,-107,68
-109,-103,23
-106,-107,62
-103,-107,80
-95,-103,90
-110,-104,30
-110,-101,9
-110,-98,3
-99,-104,85
-105,-108,70
-111,-101,0
-110,-95,0
-110,-99,3
-109,-98,3
-92,-100,78
-109,-106,34
-102,-105,64
-109,-100,11
-107,-104,38
-111,-102,5
-109,-102,16
-107,-103,31
-111,-100,3
-106,-103,39
-109,-105,28
-100,-107,89
-110,-102,17
-107,-106,50
-109,-101,15
-107,-107,32
-109,-110,41
-111,-103,16
-105,-105,62
-100,-105,77
-108,-100,17
-111,-99,2
-105,-106,45
-111,-105,16
-108,-106,45
-90,-99,83
-109,-104,20
-101,-104,75
-98,-105,76
-108,-105,40
-113,-100,0
-106,-104,57
-110,-100,4
-112,-97,0
-107,-109,67
-107,-105,52
-101,-108,76
-101,-106,82
-108,-108,56
-110,-103,18
-98,-104,86
-106,-110,62
-111,-104,14
-108,-103,30
-108,-110,56
-111,-106,25
-108,-107,49
-107,-108,45
-104,-105,66
-93,-102,78
-94,-101,75
-111,-101,4
-110,-101,14
-93,-101,76
-110,-97,0
-94,-102,72
-111,-102,9
-104,-106,60
-109,-103,28
-109,-107,47
-110,-108,37
-91,-99,79
-110,-102,21
-109,-99,4
-108,-101,20
-109,-106,37
-111,-100,2
-110,-104,28
-105,-109,68
-89,-98,83
-106,-108,55
-106,-109,62
-108,-104,39
-110,-99,0
-110,-106,21
-106,-106,49
-106,-105,57
-95,-103,79
-108,-109,59
-106,-107,59
-109,-92,0
-110,-105,34
-109,-104,34
-109,-102,21
-90,-98,85
-108,-105,40
-108,-106,47
-111,-103,16
-96,-104,77
-92,-100,74
-111,-95,0
-101,-107,81
-110,-100,8
-109,-93,0
-109,-100,8
-110,-98,1
-109,-105,34
-102,-107,79
-107,-107,63
-112,-96,0
-111,-97,0
-108,-102,27
-107,-106,56
-105,-107,63
-110,-107,24
-111,-99,1
-111,-98,0
-110,-103,20
-109,-101,16
-111,-101,5
-95,-102,79
-96,-102,81
-97,-104,82
-99,-105,79
-109,-98,4
-110,-101,14
-110,-96,0
-108,-107,42
-109,-94,0
-109,-103,27
-109,-108,39
-111,-96,0
-103,-105,65
-109,-97,0
-108,-103,36
-93,-100,84
-109,-96,0
-110,-99,2
-107,-102,33
-109,-109,49
-107,-105,50
-107,-97,4
-109,-99,4
-108,-104,33
-108,-97,5
-108,-95,0
-107,-104,44
-103,-106,70
-99,-106,84
-108,-108,50
-104,-107,69
-105,-106,65
-110,-102,19
-96,-103,79
-108,-99,13
-109,-95,0
-102,-106,74
-98,-105,81
-108,-105,50
-108,-96,1
-97,-105,79
-101,-105,81
-109,-102,32
-109,-100,22
-109,-104,37
-109,-98,3
-94,-102,81
-108,-98,6
-108,-102,24
-109,-101,28
-107,-101,28
-108,-101,39
-97,-103,81
-93,-101,84
-91,-100,82
-108,-100,25
-107,-103,48
-107,-100,13
-104,-104,62
-98,-103,83
-100,-106,82
-109,-97,2
-108,-97,5
-107,-99,16
-107,-108,61
-106,-104,51
-108,-106,39
-108,-103,26
-108,-96,2
-103,-108,73
-110,-100,8
-109,-99,5
-111,-102,9
-108,-99,12
-106,-100,24
-106,-106,62
-109,-96,0
-108,-104,38
-107,-106,58
-105,-105,55
-106,-105,53
-111,-100,0
-109,-106,28
-92,-99,77
-107,-110,68
-110,-98,0
-107,-107,59
-106,-107,70
-112,-104,11
-105,-108,56
-112,-103,10
-92,-100,74
-111,-105,29
-109,-105,29
-111,-104,22
-95,-103,87
-111,-107,30
-108,-105,35
-113,-98,0
-90,-99,82
-106,-108,61
-109,-107,36
-103,-107,80
-104,-108,72
-92,-101,81
-112,-102,3
-107,-109,57
-104,-106,68
-89,-97,85
-112,-106,32
-112,-101,1
-112,-99,0
-111,-103,18
-108,-107,51
-110,-105,24
-109,-103,26
-110,-104,28
-94,-100,83
-110,-101,17
-112,-105,26
-93,-101,85
-99,-107,74
-112,-100,1
-91,-99,82
-107,-105,58
-111,-101,3
-112,-98,0
-111,-99,0
-111,-106,22
-110,-103,21
-110,-97,0
-105,-107,63
-88,-97,84
-94,-102,78
-110,-106,36
-109,-98,5
-108,-101,22
-105,-104,52
-95,-102,79
-110,-99,3
-107,-104,41
-111,-97,1
-111,-100,1
-101,-106,84
-108,-100,17
-109,-102,24
-106,-103,47
-108,-102,24
-109,-101,11
-110,-93,0
-109,-100,12
-108,-103,38
-110,-100,3
-110,-102,16
-108,-106,46
-109,-104,32
-90,-97,77
-111,-98,0
-111,-94,0
-111,-102,9
-108,-108,57
-107,-106,56
-97,-104,84
-105,-106,63
-96,-104,85
-102,-108,87
-90,-98,79
-111,-104,34
-107,-108,63
-109,-106,41
-94,-101,85
-109,-105,42
-96,-103,82
-95,-104,83
-111,-101,4
-108,-109,59
-104,-105,64
-109,-108,44
-110,-101,12
-111,-95,0
-111,-96,0
-108,-107,52
-108,-105,49
-109,-107,40
-106,-109,67
-111,-105,34
-112,-103,12
-111,-103,17
-110,-107,37
-98,-104,77
-100,-105,80
-91,-98,81
-106,-107,51
-107,-107,65
-111,-99,2
-110,-95,0
-109,-103,28
-111,-100,1
-110,-109,31
-110,-103,30
-110,-104,28
-98,-105,87
-98,-106,84
-113,-97,0
-110,-108,39
-112,-104,13
-110,-105,36
-112,-102,2
-110,-111,43
-93,-101,84
-111,-102,9
-102,-107,78
-92,-100,91
-108,-98,6
-110,-100,7
-108,-106,47
-106,-108,70
-111,-108,37
-107,-109,58
-108,-104,45
-99,-105,80
-110,-98,0
-109,-109,57
-113,-106,6
-95,-103,86
-110,-102,21
-112,-101,3
-111,-109,32
-106,-106,58
-111,-101,10
-108,-108,63
-94,-103,80
-110,-99,4
-97,-105,87
-105,-109,68
-110,-106,46
-107,-105,60
-94,-102,84
-109,-99,6
-87,-95,81
-105,-107,64
-109,-104,31
-111,-98,0
-105,-108,77
-111,-103,22
-89,-98,82
-91,-100,86
-111,-107,35
-111,-106,27
-112,-105,18
-99,-106,82
-108,-110,61
-108,-107,58
-109,-106,46
-109,-107,42
-104,-107,66
-106,-105,53
-109,-102,24
-112,-97,0
-111,-97,0
-111,-100,1
-109,-105,30
-107,-108,64
-100,-104,76
-107,-106,56
-99,-103,72
-111,-105,38
-87,-96,85
-111,-104,15
-110,-101,14
-110,-96,0
-109,-108,49
-109,-100,2
-109,-95,0
-100,-106,83
-110,-103,21
-110,-94,0
-103,-106,66
-109,-101,11
-96,-104,76
-109,-97,0
-105,-102,46
-109,-103,23
-108,-105,34
-110,-97,0
-108,-106,31
-102,-106,74
-107,-107,40
-109,-94,0
-112,-107,21
-112,-100,1
-104,-109,75
-111,-110,37
-111,-102,7
-90,-99,72
-104,-106,53
-110,-104,23
-111,-99,1
-99,-104,70
-96,-101,80
-110,-100,5
-101,-107,67
-107,-111,67
-111,-101,5
-112,-99,0
-100,-107,72
-110,-105,16
-110,-102,10
-103,-109,67
-113,-103,2
-109,-104,3
-112,-95,0
-104,-110,70
-97,-104,55
-103,-108,55
-113,-101,1
-91,-99,74
-110,-107,22
-102,-105,63
-112,-98,0
-112,-103,1
-107,-104,19
-93,-102,77
-111,-103,1
-103,-105,52
-106,-104,36
-108,-108,21
-108,-103,14
-108,-107,6
-112,-104,10
-93,-100,70
-110,-110,48
-109,-106,6
-109,-98,2
-103,-107,54
-93,-101,56
-106,-107,40
-109,-107,8
-104,-108,55
-108,-109,40
-106,-108,17
-108,-104,10
-110,-101,2
-111,-100,1
-95,-102,64
-110,-99,1
-109,-102,9
-111,-93,0
-92,-100,43
-107,-108,22
-94,-102,54
-95,-103,54
-107,-106,16
-107,-105,25
-92,-101,81
-106,-106,28
-111,-98,0
-111,-102,3
-109,-99,4
-111,-96,0
-107,-103,29
-110,-98,0
-108,-105,22
-110,-108,26
-109,-105,12
-86,-95,84
-105,-106,38
-108,-102,19
-109,-103,9
